Probe_ID	Gene_Symbol
2480040	ANKRD19
840333	ANKRD2
4290364	ANKRD20A1
4490484	ANKRD20A1
6450661	ANKRD20A1
7050114	ANKRD20A1
2970564	ANKRD20A2
4180609	ANKRD20A3
5260703	ANKRD20A3
6420095	ANKRD20A4
770725	ANKRD20B
2260372	ANKRD20B
6480523	ANKRD20B
7510500	ANKRD20B
4490414	ANKRD21
130181	ANKRD22
4150270	ANKRD22
1300634	ANKRD23
3520195	ANKRD23
3460626	ANKRD24
6280551	ANKRD24
5560189	ANKRD26
5670112	ANKRD27
360064	ANKRD28
2760563	ANKRD28
1500358	ANKRD29
3130114	ANKRD29
3060537	ANKRD30A
4900215	ANKRD30A
5910309	ANKRD30A
1770273	ANKRD30B
6100315	ANKRD31
1070736	ANKRD32
6380747	ANKRD32
4860707	ANKRD33
1090142	ANKRD34A
3390451	ANKRD34B
2070576	ANKRD34C
4180437	ANKRD35
4590377	ANKRD35
150730	ANKRD36
1450332	ANKRD36
1510246	ANKRD36
5810050	ANKRD36
3060010	ANKRD36B
6100066	ANKRD36B
240682	ANKRD37
7610128	ANKRD38
6220553	ANKRD39
5560142	ANKRD40
1050440	ANKRD41
4670554	ANKRD41
2120392	ANKRD42
2450274	ANKRD43
520280	ANKRD44
5810228	ANKRD44
5560224	ANKRD45
2750598	ANKRD46
4860603	ANKRD47
520341	ANKRD49
290450	ANKRD5
1740546	ANKRD5
7100433	ANKRD5
1770187	ANKRD50
3870402	ANKRD52
150097	ANKRD53
2340598	ANKRD54
4050600	ANKRD55
2190673	ANKRD56
2510224	ANKRD57
5270474	ANKRD58
2030014	ANKRD6
4880465	ANKRD6
2370672	ANKRD7
4260653	ANKRD7
4730767	ANKRD9
7050370	ANKRD9
5390064	ANKS1A
2350201	ANKS1B
6100113	ANKS1B
6660463	ANKS1B
6510445	ANKS3
1110382	ANKS4B
1050400	ANKS6
580598	ANKZF1
5050364	ANKZF1
5090475	ANKZF1
6450669	ANLN
6350397	ANO1
7040554	ANO10
6580300	ANO2
5820300	ANO3
6220440	ANO4
1450593	ANO5
7040674	ANO6
2470204	ANO7
6020008	ANO7
6280746	ANO7
2900438	ANO8
2750711	ANO9
3400121	ANO9
5720373	ANO9
1240424	ANP32A
3850053	ANP32B
1230725	ANP32C
6980328	ANP32C
4850114	ANP32D
1070632	ANP32E
5810612	ANPEP
780538	ANRIL
20647	ANTXR1
60255	ANTXR1
3120689	ANTXR1
5700025	ANTXR1
10685	ANTXR2
1740491	ANTXRL
3840653	ANUBL1
6520215	ANXA1
1050242	ANXA10
1300274	ANXA11
5900735	ANXA11
6960594	ANXA11
1030184	ANXA13
5080274	ANXA13
6450725	ANXA13
770730	ANXA2
3520328	ANXA2
4780615	ANXA2
270609	ANXA2P1
3370202	ANXA2P1
4890494	ANXA2P2
2810411	ANXA2P3
240594	ANXA3
